Epoch,Accuracy,Loss,Precision,Recall,F1-Score,Log-Loss,Perplexity,Training Time (s),Memory Usage (MB)
1,0.7121510989619267,3.7146459535007024,0.677945563633093,0.6922908893194333,0.6885396931100518,4.29870072788167,80.20537904007048,366.92604948502446,14.560705077407311
2,0.7296126574692601,3.8386402770345605,0.690363658785225,0.7274824629495799,0.7031573559554928,3.539072801560119,43.20563792309292,393.62433685702797,14.16106473175736
3,0.7663376966948071,3.630145405121162,0.7155039330806701,0.7673865896856003,0.7389425453382276,3.173825779671228,20.834780520110183,411.5010074009281,15.62832921640694
4,0.7550793986411031,3.0727058413763952,0.7504021477034369,0.7919290185318364,0.767277643451364,2.834458406776892,11.62801327917855,437.26654947201206,16.533088759086066
5,0.7926932399209599,3.1739973827877828,0.7811076681939377,0.8143633008630669,0.7999882343820143,2.2228499898403524,17.11031789496944,434.5580166956461,17.748276856507488
